"(False, False, False, False, False, False, False, False, False, False, False, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, False, False, False, False, True)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, False, False, False, True, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, False, False, True, False, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, False, False, True, False, True)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, False, False, True, True, False)","[0, 0.2, 0, 0]"
"(False, False, False, False, False, False, False, False, True, False, False, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, False, True, False, False, True)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, False, True, False, True, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, False, True, True, False, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, False, True, True, True, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, True, False, False, False, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, True, False, False, False, True)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, True, False, False, True, False)","[0, 0.5917839204218003, 0, 0]"
"(False, False, False, False, False, False, False, True, False, True, False, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, True, False, True, False, True)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, True, False, True, True, False)","[0.23655698665540706, 1.2114850657461913, 0.8470745825493686, 0.33311926129360003]"
"(False, False, False, False, False, False, False, True, True, False, False, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, True, True, False, False, True)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, True, True, False, True, False)","[1.193091735101192, 0.24805904012751254, 1.390142611510379, 0.37060733902023846]"
"(False, False, False, False, False, False, False, True, True, True, False, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, False, True, True, True, True, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, True, False, False, False, False, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, True, False, False, False, False, True)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, True, False, False, False, True, False)","[0, 0.34824266012473193, 0.3969152, 0.010690560000000003]"
"(False, False, False, False, False, False, True, False, False, True, False, False)","[0, 0, 0, 0]"
"(False, False, False, False, False, False, True, False, False, True, False, True)","[0, 0, 0, 0]"
